name,url,scope_1,scope_2,scope_3,total_offset_expenditure,total_offsets_tons_co2
Needed,https://www.climateneutral.org/brand/needed,0.0,8.0,1421.0,9295.0,1430.0
"New Sprout Organic Farms, LLC",https://www.climateneutral.org/brand/new-sprout-organic-farms-llc,0.0,1.0,3094.0,16712.5,3094.0
Nimble,https://www.climateneutral.org/brand/nimble-for-good,0.0,5.0,1322.0,12999.25,1327.0
Nisolo,https://www.climateneutral.org/brand/nisolo,8.0,60.0,4430.0,60736.5,4499.0
Nocs,https://www.climateneutral.org/brand/nocs,0.0,3.0,1008.0,8995.5,1011.0
Nomad,https://www.climateneutral.org/brand/nomad,12.0,46.0,4892.0,31211.0,4951.0
NOMADIX,https://www.climateneutral.org/brand/nomadix,2.0,3.0,771.0,6224.0,776.0
Numi Organic Tea,https://www.climateneutral.org/brand/numi-organic-tea,0.0,0.0,2844.0,35433.0,2844.0
Nuun,https://www.climateneutral.org/brand/nuun,9.0,0.0,15427.0,125040.0,15437.0
NW Commonwealth LLC,https://www.climateneutral.org/brand/nw-commonwealth,920.0,0.0,28577.0,171517.0,32124.0
O2 Recovery Drink,https://www.climateneutral.org/brand/o2-natural-recovery,2.0,0.0,2054.0,19290.0,2116.0
Ocio Leisurewear,https://www.climateneutral.org/brand/ocio-leisurewear,0.0,2.0,96.0,1132.13,100.0
Omnia 1 Analytics,https://www.climateneutral.org/brand/omnia-1-analytics,1.0,19.0,39.0,549.75,59.0
Once Films,https://www.climateneutral.org/brand/once-films,1.0,23.0,45.0,520.0,80.0
Open Water,https://www.climateneutral.org/brand/open-water,1.0,5.0,4515.0,40750.0,5000.0
Orbitkey,https://www.climateneutral.org/brand/orbitkey,0.0,287.0,4121.0,35465.0,4410.0
Ornot,https://www.climateneutral.org/brand/ornot,1.0,15.0,902.0,7705.0,980.0
OSEA Malibu,https://www.climateneutral.org/brand/osea-malibu,2.0,0.0,7623.0,137232.0,7624.0
Outer Shell,https://www.climateneutral.org/brand/outer-shell,5.0,19.0,79.0,972.0,102.0
"Oxygen Plus, Inc.",https://www.climateneutral.org/brand/oxygen-plus,1.0,8.0,2169.0,14150.5,2177.0
P.F. Candle Co.,https://www.climateneutral.org/brand/p-f-candle-co,3.0,0.0,1899.0,16167.0,1902.0
Pacific Watch Co,https://www.climateneutral.org/brand/pacific-watch-co,0.0,1.0,4.0,71.25,5.0
Pamela Love,https://www.climateneutral.org/brand/pamela-love,0.0,2.0,1048.0,7222.5,1138.0
Parachute Home,https://www.climateneutral.org/brand/parachute-home,21.0,207.0,22949.0,321194.7,23177.0
Paravel,https://www.climateneutral.org/brand/paravel,0.0,2.0,6721.0,80097.0,6723.0
Peak Design,https://www.climateneutral.org/brand/peak-design,1.0,1.0,31835.0,127348.0,31837.0
Pela,https://www.climateneutral.org/brand/pela,15.0,1.0,3727.0,45677.0,3744.0
Perr & Knight Consulting,https://www.climateneutral.org/brand/perr-and-knight,33.0,192.0,221.0,8875.0,450.0
Petaluma,https://www.climateneutral.org/brand/petaluma,0.0,3.0,309.0,2028.0,312.0
Pine & Palm Home,https://www.climateneutral.org/brand/pine-and-palm-home,0.0,0.0,27.0,198.75,27.0
Planet+Purpose Solutions,https://www.climateneutral.org/brand/planet-purpose-solutions,0.0,12.0,23.0,360.0,36.0
Point B,https://www.climateneutral.org/brand/point-b,12.0,133.0,6047.0,73359.5,6192.0
PopSockets,https://www.climateneutral.org/brand/popsockets,3.0,11.0,8933.0,121621.08,8946.0
Post Company,https://www.climateneutral.org/brand/post-company,3.0,70.0,139.0,1696.0,212.0
Project Reef,https://www.climateneutral.org/brand/project-reef,0.0,2.0,257.0,3781.4,259.0
Prose,https://www.climateneutral.org/brand/prose,6.0,797.0,14525.0,183936.0,15328.0
PROVEN Partners,https://www.climateneutral.org/brand/proven-partners,0.0,0.0,26.0,453.75,27.0
Pure Project,https://www.climateneutral.org/brand/pure-project,105.0,162.0,721.0,7912.0,989.0
Purps,https://www.climateneutral.org/brand/purps,0.0,1.0,135.0,2108.24,156.0
QEJA SOCKS,https://www.climateneutral.org/brand/qeja-socks,0.0,0.0,11.0,156.5,11.0
Rainbo,https://www.climateneutral.org/brand/rainbo,0.0,4.0,525.0,6348.0,529.0
REBO Bottle,https://www.climateneutral.org/brand/rebo-bottle,0.0,0.0,828.0,7866.0,828.0
Reformation,https://www.climateneutral.org/brand/reformation,110.0,0.0,34353.0,263205.12,36822.0
REI,https://www.climateneutral.org/brand/rei,5862.0,0.0,314437.0,1144318.25,320300.0
Renoun,https://www.climateneutral.org/brand/renoun,0.0,1.0,217.0,1580.5,218.0
Rep Your Water,https://www.climateneutral.org/brand/rep-your-water,1.0,3.0,1953.0,15173.5,1960.0
"Rhoback, INC",https://www.climateneutral.org/brand/rhoback-inc,133.0,248.0,7338.0,44771.0,7719.0
Rizos Curls,https://www.climateneutral.org/brand/rizos-curls,1.0,27.0,2891.0,27740.0,2920.0
RoAndCo,https://www.climateneutral.org/brand/roandco,5.0,120.0,238.0,2880.98,364.0
Rocky Talkie,https://www.climateneutral.org/brand/rocky-talkie,0.0,2.0,1627.0,22339.0,1629.0
Rumpl,https://www.climateneutral.org/brand/rumpl,10.0,12.0,9504.0,103612.5,9526.0
rygr,https://www.climateneutral.org/brand/rygr,1.0,37.0,74.0,2334.0,112.0
Saie,https://www.climateneutral.org/brand/saie,65.0,94.0,10510.0,114133.6,10669.0
salty aura,https://www.climateneutral.org/brand/salty-aura,0.0,0.0,132.0,1495.25,133.0
Salvona,https://www.climateneutral.org/brand/salvona,196.0,312.0,1990.0,29976.0,2498.0
